万年青		强心利尿、清热解毒、止血的功效
三白草		清热解毒、利尿通淋的功效，临床用于治疗小便不利、淋沥涩痛、白带、尿路感染、肾炎水肿，外治疮疡肿毒、湿疹
丝瓜络		通络、活血、祛风功效，临床用于治疗痹痛拘挛、胸胁胀痛、乳汁不通
农吉利		清热解毒、除湿消积的功效，临床用于治疗痢疾等
冬瓜		利水消痰、清热解毒的功效，临床用于治疗水肿等
冬瓜皮		利水消肿的功效，临床用于治疗水肿胀满、小便不利、暑热口渴、小便短赤
冬葵		祛湿利水、润下功效
冬葵果		清热利尿、消肿的功效，临床用于尿闭、水肿、口渴、尿路感染
半枝莲		清热解毒、化瘀利尿的功效，临床用于治疗疔疮肿毒、咽喉肿痛、毒蛇咬伤、跌扑伤痛、水肿、黄疸
半边莲		利尿消肿、清热解毒的功效，临床用于治疗大腹水肿、面足浮肿、痈肿疔疮、蛇虫咬伤、晚期血吸虫病腹水
商陆		逐水消肿、通利二便、解毒散结的功效，临床用于治疗水肿胀满、二便不通，外治痈肿疮毒
土茯苓		除湿、解毒、通利关节的功效，用于湿热淋浊、带下、痈肿、瘰疬、疥癣、梅毒及汞中毒所致的肢体拘挛、筋骨疼痛
地肤子		清热利湿、祛风止痒的功效，临床用于治疗小便涩痛、阴痒带下、湿疹、皮肤瘙痒
地胆草		清热解毒、利尿消肿的功效，临床用于治疗感冒、急性扁桃体炎、咽喉炎、眼结膜炎、流行性乙型脑炎等病症
大腹皮		下气宽中、行水消肿的功效，用于湿阻气滞、脘腹胀闷、大便不爽、水肿胀满、脚气浮肿、小便不利
大豆		健脾宽中、解毒消肿、利水消积的功效，临床用于治疗疳积、泻痢等
天仙藤		行气活血、利水消肿的功效，临床用于治疗脘腹刺痛、关节痹痛、妊娠水肿
天胡荽		清热、利尿消肿、解毒的功效，临床用于治疗黄疸、赤白痢疾等
天葵		清热解毒、利水的功效，临床用于治疗瘰疬、疝气等
夹竹桃		强心利尿、祛痰定喘、镇痛、散瘀的功效，临床用于治疗喘息咳嗽、癫痫等
川木通		清热利尿、通经下乳的功效，临床用于治疗水肿、淋病、小便不通、关节痹痛、经闭乳少
广金钱草		清热除湿、利尿通淋的功效，临床用于治疗热淋、砂淋、石淋、小便涩痛、水肿尿少、黄疸尿赤、尿路结石
